cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
"Other noninflammatory disorders of uterus, except cervix",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,2,2,0,5,5,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0,5,5
Erosion and ectropion of cervix uteri,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysplasia of cervix uteri,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other noninflammatory disorders of cervix uteri,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other noninflammatory disorders of vagina,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other noninflammatory disorders of vulva and perineum,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absent, scanty and rare menstruation",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excessive, frequent and irregular menstruation",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other abnormal uterine and vaginal bleeding,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,0,1,1,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,0,4,4,0,1,1,0,4,4
Pain and other conditions associated with female genital organs and menstrual cycle,CHAPTER XIV Diseases of the genitourinary system,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal and other perimenopausal disorders,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Habitual aborter,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female infertility,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications associated with artificial fertilization,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of the genitourinary system,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postprocedural disorders of genitourinary system, not elsewhere classified",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pregnancy with abortive outcome,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,3,3,0,1,1,0,0,0,0,4,4,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
Ectopic pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,3,3,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Hydatidiform mole,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Other abnormal products of conception,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Spontaneous abortion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical abortion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other abortion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified abortion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failed attempted abortion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications following abortion and ectopic and molar pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-existing hypertensive disorder with superimposed proteinuria,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gestational [pregnancy-induced] oedema and proteinuria without hypertension,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gestational [pregnancy-induced] hypertension without significant proteinuria,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gestational [pregnancy-induced] hypertension with significant proteinuria,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Eclampsia,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified maternal hypertension,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Other maternal disorders predominantly related to pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemorrhage in early pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excessive vomiting in pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venous complications in pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infections of genitourinary tract in pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes mellitus in pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malnutrition in pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for other conditions predominantly related to pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abnormal findings on antenatal screening of mother,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications of anaesthesia during pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care related to the fetus and amniotic cavity and possible delivery problems,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0
Multiple gestation,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications specific to multiple gestation,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for known or suspected malpresentation of fetus,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for known or suspected disproportion,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for known or suspected abnormality of pelvic organs,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for known or suspected fetal abnormality and damage,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maternal care for other known or suspected fetal problems,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyhydramnios,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of amniotic fluid and membranes,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Premature rupture of membranes,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Placental disorders,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Placenta praevia,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premature separation of placenta [abruptio placentae],"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Antepartum haemorrhage, not elsewhere classified","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False labour,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prolonged pregnancy,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications of labour and delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,3,3,0,0,0,0,4,4,0,6,6,0,5,5,0,1,1,0,1,1,0,3,3,0,1,1,0,0,0
Preterm labour and delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failed induction of labour,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abnormalities of forces of labour,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long labour,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructed labour due to malposition and malpresentation of fetus,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructed labour due to maternal pelvic abnormality,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other obstructed labour,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labour and delivery complicated by fetal stress [distress],"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labour and delivery complicated by umbilical cord complications,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perineal laceration during delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other obstetric trauma,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postpartum haemorrhage,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,3,3,0,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"Retained placenta and membranes, without haemorrhage","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications of anaesthesia during labour and delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other complications of labour and delivery, not elsewhere classified","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single spontaneous delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single delivery by forceps and vacuum extractor,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single delivery by caesarean section,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other assisted single delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complications predominantly related to the puerperium,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,3,3,0,4,4,0,4,4,0,2,2,0,2,2,0,9,9,0,2,2,0,3,3,0,3,3
Puerperal sepsis,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
Other puerperal infections,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Venous complications in the puerperium,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Obstetric embolism,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,3,3,0,3,3,0,1,1,0,1,1,0,3,3,0,2,2,0,2,2,0,0,0
Complications of anaesthesia during the puerperium,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Complications of the puerperium, not elsewhere classified","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,2,2
Infections of breast associated with childbirth,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of breast and lactation associated with childbirth,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other obstetric conditions,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,3,3,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,4,4,0,1,1
Obstetric death of unspecified cause,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Death from any obstetric cause occurring more than 42 days but less than one year after delivery,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death from sequelae of direct obstetric causes,"CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","CHAPTER XV Pregnancy, childbirth and the puerperium",,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",CHAPTER XVI Certain conditions originating in the perinatal period,,181,143,324,219,167,386,171,125,296,172,151,323,169,127,296,138,133,271,107,123,230,100,94,194,127,91,218,142,107,249
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,CHAPTER XVI Certain conditions originating in the perinatal period,,20,15,35,26,25,51,27,19,46,14,18,32,16,17,33,19,11,30,15,12,27,8,13,21,17,13,30,7,7,14
Fetus and newborn affected by maternal complications of pregnancy,CHAPTER XVI Certain conditions originating in the perinatal period,,82,58,140,108,79,187,88,52,140,82,62,144,82,46,128,43,64,107,37,41,78,36,25,61,44,30,74,56,47,103
"Fetus and newborn affected by complications of placenta, cord and membranes",CHAPTER XVI Certain conditions originating in the perinatal period,,51,52,103,63,45,108,43,34,77,53,57,110,48,52,100,55,39,94,41,54,95,40,43,83,48,34,82,51,40,91
Fetus and newborn affected by other complications of labour and delivery,CHAPTER XVI Certain conditions originating in the perinatal period,,26,18,44,22,17,39,13,19,32,21,14,35,23,11,34,20,19,39,12,13,25,15,13,28,18,14,32,27,13,40
Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,CHAPTER XVI Certain conditions originating in the perinatal period,,2,0,2,0,1,1,0,1,1,2,0,2,0,1,1,1,0,1,2,3,5,1,0,1,0,0,0,1,0,1
Disorders related to length of gestation and fetal growth,CHAPTER XVI Certain conditions originating in the perinatal period,,47,34,81,49,38,87,48,29,77,52,29,81,31,33,64,55,46,101,56,48,104,54,36,90,52,38,90,53,37,90
Slow fetal growth and fetal malnutrition,CHAPTER XVI Certain conditions originating in the perinatal period,,3,3,6,2,2,4,1,0,1,2,1,3,0,3,3,7,6,13,4,1,5,1,2,3,2,4,6,3,6,9
"Disorders related to short gestation and low birth weight, not elsewhere classified",CHAPTER XVI Certain conditions originating in the perinatal period,,44,31,75,47,36,83,47,29,76,50,28,78,31,30,61,48,40,88,52,47,99,53,34,87,50,34,84,50,31,81
Disorders related to long gestation and high birth weight,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth trauma,CHAPTER XVI Certain conditions originating in the perinatal period,,1,1,2,5,2,7,1,0,1,1,0,1,2,1,3,1,3,4,2,0,2,0,1,1,2,1,3,1,1,2
Intracranial laceration and haemorrhage due to birth injury,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,1,1
Other birth injuries to central nervous system,CHAPTER XVI Certain conditions originating in the perinatal period,,1,1,2,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Birth injury to scalp,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Birth injury to skeleton,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Birth injury to peripheral nervous system,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other birth injuries,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Respiratory and cardiovascular disorders specific to the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,28,23,51,42,27,69,48,23,71,28,20,48,26,18,44,35,23,58,44,19,63,30,25,55,30,21,51,32,26,58
Intrauterine hypoxia,CHAPTER XVI Certain conditions originating in the perinatal period,,1,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,1,2,0,1,1,3,4,7
Birth asphyxia,CHAPTER XVI Certain conditions originating in the perinatal period,,6,4,10,12,3,15,16,5,21,5,4,9,6,7,13,4,3,7,2,1,3,3,4,7,6,3,9,2,1,3
Respiratory distress of newborn,CHAPTER XVI Certain conditions originating in the perinatal period,,7,3,10,5,6,11,5,3,8,2,3,5,1,0,1,2,2,4,6,5,11,2,4,6,6,1,7,4,2,6
Congenital pneumonia,CHAPTER XVI Certain conditions originating in the perinatal period,,0,3,3,1,0,1,0,1,1,1,2,3,0,2,2,1,1,2,2,0,2,2,0,2,1,3,4,1,1,2
Neonatal aspiration syndromes,CHAPTER XVI Certain conditions originating in the perinatal period,,2,0,2,1,5,6,6,5,11,0,2,2,3,2,5,4,2,6,1,0,1,0,2,2,0,0,0,1,1,2
Interstitial emphysema and related conditions originating in the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,1,0,1,2,0,2,0,1,1,0,2,2,0,1,1,2,5,7,1,1,2,3,1,4,0,1,1,1,2,3
Pulmonary haemorrhage originating in the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,0,1,1,3,1,4,2,1,3,1,0,1,1,0,1,4,2,6,2,2,4,3,1,4,3,2,5,3,0,3
Chronic respiratory disease originating in the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,3,1,4,4,1,5,7,3,10,10,4,14,4,3,7,7,5,12,13,2,15,9,4,13,8,3,11,8,6,14
Other respiratory conditions originating in the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,2,8,10,7,5,12,5,2,7,4,3,7,10,1,11,6,1,7,10,5,15,4,3,7,3,4,7,3,3,6
Cardiovascular disorders originating in the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,6,3,9,4,5,9,7,2,9,5,0,5,1,2,3,5,2,7,2,1,3,3,5,8,3,3,6,6,6,12
Infections specific to the perinatal period,CHAPTER XVI Certain conditions originating in the perinatal period,,22,7,29,9,5,14,22,7,29,18,8,26,5,10,15,9,11,20,9,13,22,5,9,14,14,12,26,17,10,27
Congenital viral diseases,CHAPTER XVI Certain conditions originating in the perinatal period,,3,2,5,3,2,5,7,1,8,2,2,4,1,5,6,1,2,3,1,2,3,2,4,6,5,7,12,3,0,3
Bacterial sepsis of newborn,CHAPTER XVI Certain conditions originating in the perinatal period,,14,3,17,5,2,7,11,6,17,14,4,18,4,5,9,5,8,13,8,10,18,2,5,7,8,2,10,14,10,24
Other congenital infectious and parasitic diseases,CHAPTER XVI Certain conditions originating in the perinatal period,,2,0,2,0,1,1,2,0,2,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
Omphalitis of newborn with or without mild haemorrhage,CHAPTER XVI Certain conditions originating in the perinatal period,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
